SAMPLE,FILE,HTSEQ_FILE,GROUP
CONTROL_1,SRR1283812,SRR1283812.txt,CONTROL
CONTROL_2,SRR1283813,SRR1283813.txt,CONTROL
CONTROL_3,SRR1283814,SRR1283814.txt,CONTROL
DSS_1,SRR1283815,SRR1283815.txt,DSS
DSS_2,SRR1283816,SRR1283816.txt,DSS
DSS_3,SRR1283817,SRR1283817.txt,DSS
DSS_4,SRR1283818,SRR1283818.txt,DSS
AOM_1,SRR1283819,SRR1283819.txt,AOM
AOM_2,SRR1283820,SRR1283820.txt,AOM
AOM_3,SRR1283821,SRR1283821.txt,AOM
