Group	RefSeq	GeneSymbol
Glycolipid Related	NM_011451	SPHK1
Glycolipid Related	NM_203280	SPHK2
Glycolipid Related	NM_009163	SGPL1
Glycolipid Related	NM_145475	CERK
Glycolipid Related	NM_023420	CERT
Glycolipid Related	NM_025972	ASAH1
Glycolipid Related	NM_018830	ASAH2
Glycolipid Related	NM_175731	ASAH3
Glycolipid Related	NM_021491	SMPD3
Glycolipid Related	NM_019422	ELOVL1
Glycolipid Related	NM_019423	ELOVL2
Glycolipid Related	NM_007703	ELOVL3
Glycolipid Related	NM_148941	ELOVL4
Glycolipid Related	NM_134255	ELOVL5
Glycolipid Related	NM_130450	ELOVL6
Glycolipid Related	XM_203753	3-KSR/FVT1
Glycolipid Related	NM_133252	TRAM2
Glycolipid Related	NM_001033929	THNSL2
Glycolipid Related	NM_012054	AOAH
Glycolipid Related	NM_021460	LIP1
Glycolipid Related	NM_011421	SMPD1
Glycolipid Related	NM_001005847	AGA
Glycolipid Related	NM_010299	GM2A
Glycosaminoglycan Related	NM_007833	DECORIN
Glycosaminoglycan Related	NM_007542	BIGLYCAN
Glycosaminoglycan Related	NM_021355	FIBROMODULIN
Glycosaminoglycan Related	NM_008524	LUMICAN
Glycosaminoglycan Related	NM_016696	GLYPICAN 1
Glycosaminoglycan Related	NM_172412	GLYPICAN 2 (CEREBROGLYCAN)
Glycosaminoglycan Related	NM_016697	GLYPICAN 3
Glycosaminoglycan Related	NM_008150	GLYPICAN 4
Glycosaminoglycan Related	NM_175500	GLYPICAN 5
Glycosaminoglycan Related	NM_011821	GLYPICAN 6
Glycosaminoglycan Related	NM_011519	SYNDECAN 1
Glycosaminoglycan Related	NM_008304	HSPG1
Glycosaminoglycan Related	NM_011520	SYNDECAN 3
Glycosaminoglycan Related	NM_011521	SYNDECAN 4
Glycosaminoglycan Related	NM_139001	CSPG4
Glycosaminoglycan Related	NM_013884	CSPG5
Glycosaminoglycan Related	NM_007790	CSPG6
Glycosaminoglycan Related	XM_978879	HSPG2
Glycosaminoglycan Related	NM_009851	CD44
Glycosaminoglycan Related	NM_009170	SHH
Glycosaminoglycan Related	NM_133654	CD34
Glycosaminoglycan Related	NM_008134	GLYCAM1
Glycosaminoglycan Related	NM_013591	MADCAM1
Glycosaminoglycan Related	NM_009151	PSGL-1
Glycosaminoglycan Related	NM_007741	COLLAGEN IX A2
Glycosaminoglycan Related	NM_181277	COLLAGEN TYPE XIV
Glycosaminoglycan Related	NM_010545	CD74
Glycosaminoglycan Related	NM_010017	PROTEOGLYCAN DYSTROGLYCAN
Glycosaminoglycan Related	NM_173430	FUKUTIN-LIKE PROTEIN
Glycosaminoglycan Related	NM_011157	SERGLYCIN
Glycosaminoglycan Related	NM_172508	SART2
Glycosaminoglycan Related	XM_893564	EG628779
Glycosaminoglycan Related	NM_011113	PLAUR
Glycosaminoglycan Related	NM_080844	SERPINC1
Glycosaminoglycan Related	NM_001081316	DSE1
Glycosaminoglycan Related	NM_008973	PTN
Glycosaminoglycan Related	NM_033320	GLCE
Glycosaminoglycan Related/Fibroblast Growth Factor	NM_010197	FGF1
Glycosaminoglycan Related/Fibroblast Growth Factor	NM_008006	FGF2
Glycosaminoglycan Related/Fibroblast Growth Factor	NM_008007	FGF3
Glycosaminoglycan Related/Fibroblast Growth Factor	NM_010202	FGF4
Glycosaminoglycan Related/Fibroblast Growth Factor	NM_010203	FGF5
Glycosaminoglycan Related/Fibroblast Growth Factor	NM_008008	FGF7
Glycosaminoglycan Related/Fibroblast Growth Factor	NM_010205	FGF8
Glycosaminoglycan Related/Fibroblast Growth Factor	NM_013518	FGF9
Glycosaminoglycan Related/Fibroblast Growth Factor	NM_008002	FGF10
Glycosaminoglycan Related/Fibroblast Growth Factor	NM_010198	FGF11
Glycosaminoglycan Related/Fibroblast Growth Factor	NM_183064/NM_010199	FGF12
Glycosaminoglycan Related/Fibroblast Growth Factor	NM_010200	FGF13
Glycosaminoglycan Related/Fibroblast Growth Factor	NM_010201/NM_207667	FGF14
Glycosaminoglycan Related/Fibroblast Growth Factor	NM_008003	FGF15
Glycosaminoglycan Related/Fibroblast Growth Factor	NM_030614	FGF16
Glycosaminoglycan Related/Fibroblast Growth Factor	NM_008004	FGF17
Glycosaminoglycan Related/Fibroblast Growth Factor	NM_008005	FGF18
Glycosaminoglycan Related/Fibroblast Growth Factor	NM_030610	FGF20
Glycosaminoglycan Related/Fibroblast Growth Factor	NM_020013	FGF21
Glycosaminoglycan Related/Fibroblast Growth Factor	NM_022657	FGF23
Glycosaminoglycan Related/Fibroblast Growth Factor Receptor	NM_010206	FGFR1
Glycosaminoglycan Related/Fibroblast Growth Factor Receptor	NM_010207	FGFR2
Glycosaminoglycan Related/Fibroblast Growth Factor Receptor	NM_008010	FGFR3
Glycosaminoglycan Related/Fibroblast Growth Factor Receptor	NM_008011	FGFR4
Lipid-Linked Oligosaccharide Pathway Related	NM_011900	MPDU1
Lipid-Linked Oligosaccharide Pathway Related	NM_026767	DPM3
Lipid-Linked Oligosaccharide Pathway Related	NM_010073	DPM2
Lipid-Linked Oligosaccharide Pathway Related	NM_010015	DAD1
Lipid-Linked Oligosaccharide Pathway Related	NM_007838	DDOST
Lipid-Linked Oligosaccharide Pathway Related	NM_133933	RPN1
Lipid-Linked Oligosaccharide Pathway Related	NM_019642	RPN2
Lipid-Linked Oligosaccharide Pathway Related	NM_007875	DPAGT1
Lipid-Linked Oligosaccharide Pathway Related	NM_177815	RFT1
Lipid-Linked Oligosaccharide Pathway Related	NM_177648	TMEM15
Lipid-Linked Oligosaccharide Pathway Related	NM_030254	TUSC3
Lipid-Linked Oligosaccharide Pathway Related	NM_024460	2310016E02RIK
GPI anchor biosynthesis Related	NM_010331	GPAA1
GPI anchor biosynthesis Related	NM_013784	PIGN
GPI anchor biosynthesis Related	NM_008838	PIGF
GPI anchor biosynthesis Related	NM_020035	PIGO
GPI anchor biosynthesis Related	NM_025662	PIGK
GPI anchor biosynthesis Related	NM_133779	PIGT
GPI anchor biosynthesis Related	NM_029988	PIGH
GPI anchor biosynthesis Related	NM_001004721	PIGU
GPI anchor biosynthesis Related	NM_201406	PIGS
GPI anchor biosynthesis Related	NM_199026	PIGL
GPI anchor biosynthesis Related	NM_025574	PIGY
GPI anchor biosynthesis Related	NM_008156	GPLD1
GPI anchor biosynthesis Related	NM_027388	PIGW
GPI anchor biosynthesis Related	NM_001081234	PIGG
GPI anchor biosynthesis Related	XM_892623	D230012E17RIK
GPI anchor biosynthesis Related	NM_026078	PIGC
GPI anchor biosynthesis Related	NM_011822	PIGQ
GPI anchor biosynthesis Related	NM_019543	PIGP
GPI anchor biosynthesis Related	NM_024464	PIGX
Miscellaneous	NM_001004164	GNPTAB
Miscellaneous	NM_008906	PPGB
Miscellaneous	NM_139309	FCMD
Miscellaneous	NM_008925	PRKCSH
Miscellaneous	NM_021504	NGLY1
Miscellaneous	NM_011734	SIAE
Miscellaneous	NM_013796	NAGPA
Housekeeping Gene	NM_023281	SDHA
Housekeeping Gene	NM_027373	AFAP1
Housekeeping Gene	NM_013551	HMBS
Housekeeping Gene	NM_008907	PPIA
Housekeeping Gene	NM_008084	GAPDH
Housekeeping Gene	NM_008797	PCX
Housekeeping Gene	NM_009438	RPL13A
Housekeeping Gene	NM_008828	PGK1
Housekeeping Gene	NM_016774	ATP5B
Housekeeping Gene	NM_007393	ACTB
Housekeeping Gene	NM_013556	HPRT1
Housekeeping Gene	NM_008416	JUNB
Housekeeping Gene	NM_011292	RPL9
Housekeeping Gene	NM_024212	RPL4
Housekeeping Gene	NM_052977	ADARB2
Housekeeping Gene	NM_026007	EEF1G
Housekeeping Gene	NR_003278	RN18S
Housekeeping Gene	NM_009735	B2M
Housekeeping Gene	NM_016883	PSMD10
Housekeeping Gene	NM_013684	TBP
Housekeeping Gene	NM_009594	ABL1
Housekeeping Gene	NM_018753	YWHAB
